time,T_horno,T_preH_pos,T_preH_neg,T_out_pos,T_out_neg,P_out_pos,P_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire,SP_Hum
03-16 13:16:15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:15.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:16.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:16.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:17.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:17.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:18.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:18.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:18.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:18.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:19.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:19.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:20.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:20.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:21.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:21.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:22.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:23.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:23.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:24.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:25.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:25.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:25.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
03-16 13:16:26.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,25
