time,T_horno,T_preH_pos,T_preH_neg,P_out_pos,P_out_neg,T_out_pos,T_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
09-16 16:05:33.97,21.8515,23.2699,21.8364,0.0,0.0,0.0,27.5084,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:34.90,21.8451,23.2745,21.8262,0.0,0.0,0.0,27.513,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:35.41,21.8451,23.2745,21.8262,0.0,0.0,0.0,27.513,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:35.92,21.8417,23.2688,21.822,0.0,0.0,0.0,27.5017,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:36.44,21.8417,23.2688,21.822,0.0,0.0,0.0,27.5017,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:36.95,21.8428,23.2752,21.825,0.0,0.0,0.0,27.5111,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:37.46,21.8428,23.2752,21.825,0.0,0.0,0.0,27.5111,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:37.97,21.8393,23.2705,21.8355,0.0,0.0,0.0,27.503,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:38.49,21.8393,23.2705,21.8355,0.0,0.0,0.0,27.503,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:39.00,21.8359,23.2713,21.8271,0.0,0.0,0.0,27.4977,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:39.51,21.8359,23.2713,21.8271,0.0,0.0,0.0,27.4977,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:40.02,21.8431,23.2683,21.8287,0.0,0.0,0.0,27.5,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:40.54,21.8431,23.2683,21.8287,0.0,0.0,0.0,27.5,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:41.05,21.8356,23.2688,21.825,0.0,0.0,0.0,27.4941,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:41.56,21.8356,23.2688,21.825,0.0,0.0,0.0,27.4941,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:42.07,21.8296,23.2677,21.8243,0.0,0.0,0.0,27.5013,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:42.59,21.8296,23.2677,21.8243,0.0,0.0,0.0,27.5013,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:43.10,21.8334,23.2733,21.8296,0.0,0.0,0.0,27.5005,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:43.62,21.8336,23.2641,21.8272,0.0,0.0,0.0,27.5012,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:44.13,21.8336,23.2641,21.8272,0.0,0.0,0.0,27.5012,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
